pigID,gene,rel.exp
204C,IL.1b,163.7174967
204E,IL.1b,14.16599293
204M,IL.1b,10.80136733
204N,IL.1b,21.5039286
205H,IL.1b,30.93143704
205M,IL.1b,1.275134985
206D,IL.1b,6.284441021
214A,IL.1b,3.489256456
214G,IL.1b,19.20227084
214H,IL.1b,7.700374266
214K,IL.1b,8.460208973
215C,IL.1b,11.89698684
215H,IL.1b,75.05369153
215K,IL.1b,205.7633802
204G,IL.1b,2.309466673
204H,IL.1b,7.532848753
204I,IL.1b,4.779895218
204L,IL.1b,2.173094815
205C,IL.1b,0.815514924
205E,IL.1b,3.198700946
205G,IL.1b,4.675072487
205I,IL.1b,2.971767143
206C,IL.1b,3.274430502
214B,IL.1b,13.42041858
214E,IL.1b,51.37679197
214F,IL.1b,59.63085246
214I,IL.1b,3.583339328
214L,IL.1b,11.71395979
215B,IL.1b,5.147734913
215G,IL.1b,4.738211691
204B,IL.1b,21.91077141
204D,IL.1b,20.23471554
204K,IL.1b,7.824886482
204P,IL.1b,5.688212463
205D,IL.1b,4.170769706
205K,IL.1b,1.683560859
205L,IL.1b,2.075514152
206B,IL.1b,26.93483109
206M,IL.1b,5.775481932
204A,IL.1b,NA
204F,IL.1b,5.300719054
205A,IL.1b,0.636839046
205F,IL.1b,1.283598798
206I,IL.1b,NA
206L,IL.1b,1.072098592
212D,IL.1b,0.615018451
213D,IL.1b,2.497801303
213I,IL.1b,0.140128176
204C,IL.6,58.01543724
204E,IL.6,7.020543932
204M,IL.6,2.419437985
204N,IL.6,2.717968047
205H,IL.6,6.919818338
205M,IL.6,0.281504128
206D,IL.6,2.485766245
214A,IL.6,NA
214G,IL.6,2.998672757
214H,IL.6,2.363310799
214K,IL.6,2.964704238
215C,IL.6,0.689719278
215H,IL.6,15.1691277
215K,IL.6,12.34082279
204G,IL.6,0.310910239
204H,IL.6,0.552212251
204I,IL.6,0.497795696
204L,IL.6,0.386207141
205C,IL.6,0.393744683
205E,IL.6,2.526362235
205G,IL.6,2.156884275
205I,IL.6,0.836552637
206C,IL.6,1.59011498
214B,IL.6,2.750070488
214E,IL.6,1.251969002
214F,IL.6,7.30031742
214I,IL.6,0.489460333
214L,IL.6,2.400797523
215B,IL.6,4.396203441
215G,IL.6,3.040253346
204B,IL.6,3.714794878
204D,IL.6,3.931054201
204K,IL.6,0.423672072
204P,IL.6,4.567533882
205D,IL.6,0.795458912
205K,IL.6,1.561511438
205L,IL.6,0.274101521
206B,IL.6,3.117753008
206M,IL.6,0.405940876
204A,IL.6,0.340561591
204F,IL.6,4.256391473
205A,IL.6,0.557648026
205F,IL.6,1.778720614
206I,IL.6,2.223743501
206L,IL.6,2.782706824
212D,IL.6,NA
213D,IL.6,0.457978436
213I,IL.6,0.245413069
204C,IL.8,130.125759
204E,IL.8,24.54837544
204M,IL.8,8.21138189
204N,IL.8,10.86684736
205H,IL.8,56.4006579
205M,IL.8,NA
206D,IL.8,NA
214A,IL.8,NA
214G,IL.8,NA
214H,IL.8,5.48138695
214K,IL.8,39.32929185
215C,IL.8,5.581670256
215H,IL.8,88.37163389
215K,IL.8,70.72854795
204G,IL.8,1.474790842
204H,IL.8,NA
204I,IL.8,8.423799732
204L,IL.8,7.433979826
205C,IL.8,10.31455525
205E,IL.8,9.370331371
205G,IL.8,4.853163972
205I,IL.8,23.80311272
206C,IL.8,2.98164478
214B,IL.8,NA
214E,IL.8,NA
214F,IL.8,NA
214I,IL.8,1.693000651
214L,IL.8,2.230070676
215B,IL.8,2.109903927
215G,IL.8,2.189939883
204B,IL.8,21.11937174
204D,IL.8,69.08584744
204K,IL.8,6.250878921
204P,IL.8,8.911166133
205D,IL.8,8.382706017
205K,IL.8,NA
205L,IL.8,NA
206B,IL.8,55.59719829
206M,IL.8,32.78327851
204A,IL.8,0.999799034
204F,IL.8,1.384441778
205A,IL.8,1.48494653
205F,IL.8,1.743192905
206I,IL.8,0.360082816
206L,IL.8,0.76494702
212D,IL.8,0.977518636
213D,IL.8,1.968026038
213I,IL.8,0.526704084
204C,TLR4,0.518401306
204E,TLR4,0.176778749
204M,TLR4,0.394607319
204N,TLR4,0.144130007
205H,TLR4,2.976182045
205M,TLR4,0.067929056
206D,TLR4,0.073823893
214A,TLR4,0.766390252
214G,TLR4,0.857727833
214H,TLR4,2.318489787
214K,TLR4,3.776700601
215C,TLR4,1.677177105
215H,TLR4,9.652136255
215K,TLR4,8.558696307
204G,TLR4,0.054469224
204H,TLR4,0.067893319
204I,TLR4,0.167565852
204L,TLR4,0.171074189
205C,TLR4,0.251956366
205E,TLR4,4.372568261
205G,TLR4,1.501079382
205I,TLR4,0.343579905
206C,TLR4,0.103279542
214B,TLR4,2.991771326
214E,TLR4,1.686464697
214F,TLR4,2.429713477
214I,TLR4,1.347608195
214L,TLR4,3.104716615
215B,TLR4,6.428133367
215G,TLR4,5.73382294
204B,TLR4,0.317256307
204D,TLR4,0.352558093
204K,TLR4,0.042329753
204P,TLR4,0.577789955
205D,TLR4,1.685182913
205K,TLR4,0.078518495
205L,TLR4,0.060885574
206B,TLR4,0.238800957
206M,TLR4,2.588831095
204A,TLR4,0.112367119
204F,TLR4,0.304957668
205A,TLR4,0.111707956
205F,TLR4,2.856677754
206I,TLR4,0.664302434
206L,TLR4,9.636086056
212D,TLR4,3.852614175
213D,TLR4,3.610668821
213I,TLR4,1.02698985
204C,TNF,1.5331271
204E,TNF,0.414112975
204M,TNF,3.613475667
204N,TNF,2.662551387
205H,TNF,0.939288338
205M,TNF,0.803914927
206D,TNF,1.608194866
214A,TNF,1.407560345
214G,TNF,2.474485047
214H,TNF,1.609673999
214K,TNF,0.81520254
215C,TNF,1.389958717
215H,TNF,1.919197428
215K,TNF,5.416759281
204G,TNF,0.703006496
204H,TNF,0.773638252
204I,TNF,0.677658919
204L,TNF,0.584496382
205C,TNF,0.302276143
205E,TNF,2.865618139
205G,TNF,NA
205I,TNF,0.514945276
206C,TNF,1.524330929
214B,TNF,2.837369955
214E,TNF,1.221465047
214F,TNF,4.595911708
214I,TNF,0.414206004
214L,TNF,2.711956766
215B,TNF,2.694560005
215G,TNF,1.632092667
204B,TNF,0.723262017
204D,TNF,1.015659324
204K,TNF,0.584684378
204P,TNF,2.063174618
205D,TNF,0.800359068
205K,TNF,1.223224698
205L,TNF,0.357806965
206B,TNF,1.150163432
