sampleID,pigID,site,type,diet,NEC,description,litter,letter,group,NEC.group,group.NEC,feeding,farm,sex,dob,weight.b,dod,tod,euth,weight.d,pj.vh,pj.cd,di.vh,di.cd,co.cd,clin.st,clin.je,clin.il,clin.co,clin.nec,hist.pj,hist.di,hist.co,hist.nec,image.index,notes,clin.tot,hist.tot,clin.max,hist.max,clin.nec.c,hrs.after.feed,weight.gain
200F.cecum,200F,Colon,Contents,CSS,NEC,Fed,200,F,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,900,11/14/2012,3,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,,11,8,4,3,NEC,111,143.6636637
200I.DI.tissue,200F,Ileum,Tissue,CSS,NEC,Fed,200,F,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,900,11/14/2012,3,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,,11,8,4,3,NEC,111,143.6636637
200P.cecum,200P,Colon,Contents,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
200P.DI.tissue,200P,Ileum,Tissue,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
200P.colon.tissue,200P,Colon,Tissue,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
204A.colon,204A,Colon,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.colon.tissue,204A,Colon,Tissue,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.Ile,204A,Ileum,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.stom.1,204A,Stomach,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.stom.2,204A,Stomach,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
