SampleID	Raw	Mapped	Unmapped
205D.colon	0	6394	728
Burrin.0003813	0	4523	235
206H.I	0	5942	739
Burrin.0003779	0	8466	229
Burrin.0003925	0	3111	283
Burrin.0003816	0	4747	319
Burrin.0003749	0	7809	185
204N.colon.tissue	0	5098	482
204D.DI.tissue	0	7296	275
Burrin.0003773	0	6065	266
214H.colon.tissue	0	7520	580
205C.I	0	7061	709
Burrin.0003933	0	8663	137
214H.colon	0	7893	452
Burrin.0003868	0	5815	180
214L.stom	0	4796	186
Burrin.0003885	0	6656	60
Burrin.0003778	0	9371	418
Burrin.0003911	0	8874	210
205E.colon	0	7041	1793
Burrin.0003750	0	6973	379
205K.stom	0	2	0
213G.DI.tissue	0	11441	1087
205B.colon.tissue	0	9072	676
Burrin.0003871	0	5188	273
Burrin.0003880	0	1539	26
204I.colon.tissue	0	6082	513
Burrin.0003766	0	7621	357
213G.colon.tissue	0	12888	1085
205G.stom.1	0	7198	224
Burrin.0003841	0	6496	2634
204C.stom	0	3723	350
Burrin.0003726	0	5456	511
Burrin.0003757	0	7361	376
214A.colon	0	6610	550
Burrin.0003752	0	12478	707
Burrin.0003857	0	4172	73
Burrin.0003890	0	4036	19
205A.colon	0	3	0
204K.DI	0	7986	406
Burrin.0003784	0	6291	355
Burrin.0003886	0	9335	332
204G.colon	0	8521	966
206I.DI.tissue	0	541	1
200P.DI.tissue	0	6233	529
206C.colon	0	7638	65
204A.stom.2	0	3473	323
215K.DI.tissue	0	7423	381
Burrin.0003931	0	4252	80
206B.colon.tissue	0	13283	900
Burrin.0003881	0	3585	182
214G.stom	0	5839	244
Burrin.0003832	0	1758	54
214E.DI.tissue	0	6899	232
206C.colon.tissue	0	10248	576
205H.Stom	0	4152	275
Burrin.0003762	0	10137	91
205H.ILE	0	5572	497
206I.colon.tissue	0	80	0
214G.DI	0	6651	467
Burrin.0003928	0	4990	491
205G.stom.2	0	3785	132
206L.colon	0	6850	224
212D.colon	0	4946	52
Burrin.0003732	0	3999	163
205L.stom	0	8782	303
205I.I	0	6089	412
214E.colon.tissue	0	6860	318
205I.colon.tissue	0	7118	842
204A.DI.tissue	0	209	1
Burrin.0003806	0	6909	693
206M.colon.tissue	0	6713	466
Burrin.0003894	0	7333	96
Burrin.0003875	0	3997	41
206L.colon.tissue	0	82	0
214L.colon.tissue.2	0	11883	620
Burrin.0003939	0	7118	120
Burrin.0003918	0	5095	176
214E.colon	0	6043	243
Burrin.0003908	0	6814	133
Burrin.0003858	0	4390	39
215C.DI.tissue	0	7443	161
Burrin.0003864	0	6726	184
214K.colon	0	6003	761
206H.DI.tissue	0	6339	454
205A.Ile	0	16	4
215H.DI	0	6479	326
205C.colon	0	4947	936
Burrin.0003942	0	6907	215
Burrin.0003819	0	2382	150
Burrin.0003775	0	8659	238
206M.colon	0	9837	467
206M.I	0	9985	471
215C.DI	0	9805	644
Burrin.0003929	0	6940	220
Burrin.0003860	0	5875	91
204I.stom	0	6324	310
Burrin.0003729	0	5211	556
215K.Stom	0	6510	287
Burrin.0003756	0	6176	397
206I.ILE	0	11	0
Burrin.0003914	0	10733	347
205L.I	0	6633	159
Burrin.0003878	0	5020	102
204K.DI.tissue	0	3971	49
Burrin.0003801	0	9250	495
Burrin.0003815	0	5367	208
Burrin.0003922	0	4495	175
204A.colon.tissue	0	2578	308
200P.cecum	0	6608	698
214D.colon.tissue	0	5	0
213I.colon.tissue	0	7080	592
214E.DI	0	6289	345
213K.colon	0	6019	290
213K.DI.tissue	0	7513	142
204N.colon	0	5887	797
204P.colon.tissue	0	9042	1014
204A.Ile	0	3286	12
206D.DI.tissue.2	0	7459	180
204N.stom	0	5280	646
205A.stom.1	0	3	0
Burrin.0003751	0	7421	234
Burrin.0003910	0	4702	23
Burrin.0003882	0	7398	85
205G.colon.1	0	4882	894
Burrin.0003936	0	8324	460
204N.DI.tissue	0	4101	58
214E.stom	0	9356	293
204D.stom	0	3583	171
Burrin.0003932	0	6076	126
205L.colon.tissue	0	3092	238
214F.colon.tissue	0	8000	796
Burrin.0003761	0	8424	252
Burrin.0003873	0	7356	171
Burrin.0003940	0	2059	26
Burrin.0003725	0	7450	994
204H.stom.1	0	5334	307
204C.colon.tissue	0	10648	974
214L.colon	0	6895	138
Burrin.0003764	0	7308	285
214A.DI.tissue	0	6356	82
215C.colon	0	9106	552
205G.DI.tissue	0	6869	79
Burrin.0003765	0	8980	503
204F.stom	0	6804	234
Burrin.0003805	0	5905	1169
Burrin.0003782	0	8843	437
206B.colon	0	8930	623
204F.colon.tissue	0	1772	51
Burrin.0003843	0	6175	1793
213D.DI	0	5786	38
212E.DI.tissue	0	2259	71
Burrin.0003731	0	4078	220
204B.colon.tissue	0	7112	543
Burrin.0003866	0	5313	11
214G.colon	0	5953	320
Burrin.0003728	0	4529	91
214D.stom	0	4466	41
204I.DI.tissue	0	3119	49
Burrin.0003909	0	7388	69
Burrin.0003823	0	3135	224
205E.stom	0	5316	507
Burrin.0003915	0	9715	528
204M.colon	0	6998	329
Burrin.0003872	0	3294	19
Burrin.0003776	0	1716	111
215B.colon	0	5959	122
204E.DI.tissue	0	10388	723
Burrin.0003836	0	4822	92
205K.colon.tissue	0	4730	450
212E.colon	0	6463	527
204B.DI	0	9248	845
Burrin.0003760	0	8394	617
Burrin.0003930	0	7232	122
Burrin.0003921	0	3904	78
214F.DI	0	3235	175
213P.colon	0	8352	136
213N.DI.tissue	0	8936	222
206H.colon.tissue	0	11771	1210
Burrin.0003807	0	9405	1184
204E.DI	0	7786	679
214I.DI	0	7066	258
204L.colon.tissue	0	5936	783
205L.colon.2	0	6076	644
Burrin.0003920	0	4544	23
Burrin.0003783	0	10556	111
204A.colon	0	3	0
214F.stom	0	4642	509
204E.colon	0	6169	555
Burrin.0003802	0	7240	117
204I.DI	0	8052	660
215H.stom	0	5943	210
214H.DI.tissue	0	7580	149
Burrin.0003772	0	6923	918
Burrin.0003927	0	3345	113
Burrin.0003833	0	4182	252
215K.colon	0	10266	971
204N.Ile	0	5385	847
204K.colon.tissue	0	8133	767
Burrin.0003943	0	4921	163
Burrin.0003863	0	4801	10
204H.colon.tissue	0	9764	835
Burrin.0003821	0	3994	215
205G.I	0	6151	163
214A.DI	0	7919	496
Burrin.0003755	0	9131	252
205E.I	0	6357	624
Burrin.0003916	0	4939	215
204H.DI.tissue	0	7731	228
Burrin.0003818	0	2419	43
200P.colon.tissue	0	11104	791
204L.colon	0	6785	1268
200F.cecum	0	4002	534
Burrin.0003829	0	4547	86
Burrin.0003768	0	7429	582
204F.DI.tissue	0	245	3
205K.I	0	9056	244
204P.stom	0	6130	605
Burrin.0003935	0	4478	132
Burrin.0003907	0	7761	330
Burrin.0003814	0	3210	266
204P.colon	0	8904	1315
215G.DI	0	7963	561
214A.colon.tissue	0	9066	509
Burrin.0003786	0	7534	526
204P.Ile	0	5686	156
205H.colon	0	6577	559
205M.DI.tissue	0	1462	13
Burrin.0003771	0	9077	228
Burrin.0003919	0	4917	239
Burrin.0003941	0	5604	122
Burrin.0003877	0	6312	441
206D.DI.tissue.1	0	7968	148
205B.stom	0	6283	766
Burrin.0003770	0	7463	170
212E.colon.tissue	0	8517	411
Burrin.0003913	0	9455	229
Burrin.0003893	0	4133	72
204H.stom.2	0	5467	489
205G.colon.tissue	0	8904	1880
212E.stom	0	6026	781
214B.colon.tissue	0	6207	666
Burrin.0003809	0	5592	298
215D.DI.tissue	0	10138	467
204E.stom	0	4658	362
Burrin.0003837	0	6417	197
214B.colon	0	5	0
205B.colon	0	5413	699
205D.colon.tissue	0	5147	706
214D.colon	0	4939	110
205F.colon	0	5728	44
206H.Stom	0	3334	148
Burrin.0003831	0	3517	135
205F.Ile.tissue	0	114	8
215H.colon.tissue	0	5609	136
206M.stom	0	5424	1149
213D.DI.tissue	0	410	21
214D.DI.tissue	0	2	0
205E.colon.tissue	0	5551	364
213D.colon.tissue	0	740	44
Burrin.0003889	0	6518	13
215H.DI.tissue	0	4210	48
204D.colon	0	5804	522
204C.colon	0	6281	509
215H.colon	0	5902	394
213N.colon.tissue	0	11549	515
200I.DI.tissue	0	10411	756
213G.DI	0	9754	748
204I.colon	0	8051	1501
213K.colon.tissue	0	6783	205
Burrin.0003734	0	5076	94
204G.DI.tissue	0	3864	22
213N.colon	0	6100	506
205K.DI.tissue	0	2347	44
205D.DI.tissue	0	5672	79
205I.DI.tissue	0	2619	47
206L.Ile	0	4755	87
Burrin.0003754	0	5613	375
205C.stom	0	6566	428
214F.DI.tissue	0	6047	72
204K.colon	0	5128	612
204A.stom.1	0	7	0
205I.colon	0	5626	1136
205B.I	0	5804	961
Burrin.0003810	0	3924	275
212D.DI	0	3	0
214I.stom	0	7060	562
214K.DI.tissue	0	7168	220
204M.DI.tissue	0	6027	74
Burrin.0003944	0	5768	235
215B.stom	0	7286	361
Burrin.0003867	0	6369	137
213N.DI	0	8409	99
Burrin.0003926	0	3819	126
206C.DI.tissue	0	5773	128
Burrin.0003830	0	7167	306
204K.stom	0	5667	473
204H.DI	0	5814	326
213I.DI	0	5549	145
214K.colon.tissue	0	11186	950
214F.colon	0	5130	779
Burrin.0003808	0	8275	376
214D.DI	0	3	0
204B.stom	0	5640	235
205B.DI.tissue	0	5627	25
205G.colon.2	0	5	2
206M.DI.tissue	0	9889	287
204M.colon.tissue	0	14910	936
205A.colon.tissue	0	3391	604
Burrin.0003781	0	9062	172
215K.DI	0	10570	846
Burrin.0003817	0	1935	597
Burrin.0003769	0	9084	1130
Burrin.0003777	0	10358	341
205C.colon.tissue	0	5928	2134
212D.DI.tissue	0	3	0
213K.DI	0	6658	200
205D.stom	0	6655	966
Burrin.0003869	0	4901	51
Burrin.0003730	0	5424	184
213G.colon	0	4940	530
