pathway.sortorder,biochemical,super.pathway,sub.pathway,comp.id,platform,chemical.id,ri,mass,cas,pubchem,kegg,hmdb
2944,"1,2-propanediol",Xenobiotics,Chemical,38002,GC/MS,100001176,1041,117,57-55-6;,,C00583,HMDB01881
745,"1,3-dihydroxyacetone",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",35963,GC/MS,100000143,1263,103,96-26-4;62147-49-3;,670,C00184,HMDB01882
2454,"1,6-anhydroglucose",Xenobiotics,Food Component/Plant,21049,GC/MS,100000939,1679.5,204.1,498-07-7;,11412545,,HMDB00640
951,10-heptadecenoate (17:1n7),Lipid,Long Chain Fatty Acid,33971,LC/MS Neg,100001278,5558,267.3,29743-97-3;,5312435,,
961,10-nonadecenoate (19:1n9),Lipid,Long Chain Fatty Acid,33972,LC/MS Neg,100001277,5775,295.4,73033-09-7;,5312513,,
1680,12-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,31887,LC/MS Neg,100001072,4866,405.4,2458-08-4;2458-08-4 ;,94235,,HMDB00400
1035,13-methylmyristic acid,Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5498,241.3,2485-71-4;,151014,,
1040,15-methylmargarate,Lipid,"Fatty Acid, Branched",43495,LC/MS Neg,100002355,5815,283.4,29709-08-8;,4169198,,
1041,17-methylstearate,Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5987,297.4,2724-59-6;,3083779,,
1361,1-arachidonoylglycerophosphocholine (20:4n6),Lipid,Lysolipid,33228,LC/MS Pos,100001551,5554,544.3,,,C05208,
1389,1-arachidonoylglycerophosphoethanolamine,Lipid,Lysolipid,35186,LC/MS Neg,100001571,5731,500.3,,,,HMDB11517
1450,1-arachidonylglycerol,Lipid,Monoacylglycerol,34397,LC/MS Pos,100001433,5617,396.1,35474-99-8;,5282281,C13857,HMDB11572
1355,1-dihomo-linoleoylglycerophosphocholine (20:2n6),Lipid,Lysolipid,33871,LC/MS Pos,100001553,5696,548.3,,,,
1367,1-docosahexaenoylglycerophosphocholine (22:6n3),Lipid,Lysolipid,33822,LC/MS Pos,100001566,5518,568.4,,,,
1365,1-docosapentaenoylglycerophosphocholine (22:5n3),Lipid,Lysolipid,37231,LC/MS Pos,100002063,5584,570.4,,,,
1112,1-hexadecanol,Lipid,"Fatty Alcohol, Long Chain",1410,GC/MS,53,1863,299.2,36653-82-4;,2682,C00823,HMDB03424
1369,1-lignoceroylglycerophosphocholine (24:0),Lipid,Lysolipid,44564,LC/MS Pos,100002873,5905.7,608.5,325171-59-3;,,,
1447,1-linoleoylglycerol (1-monolinolein),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6226,279.2,2277-28-3;,5283469,,
1350,1-linoleoylglycerophosphocholine (18:2n6),Lipid,Lysolipid,34419,LC/MS Pos,100001395,5574,520.4,,11988421,C04100,
1385,1-linoleoylglycerophosphoethanolamine,Lipid,Lysolipid,32635,LC/MS Neg,100001570,5725,476.3,,,,HMDB11507
1343,1-margaroylglycerophosphocholine (17:0),Lipid,Lysolipid,33957,LC/MS Pos,100001264,5750,510.4,50930-23-9;,,,HMDB12108
2426,1-methyl-beta-carboline-3-carboxylic acid,Xenobiotics,Food Component/Plant,42938,LC/MS Pos,100004434,3264.1,227.1,22329-38-0;,5406157,,
67,1-methylimidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos,100001208,845,141.1,2625-49-2 ;,75810,C05828,HMDB02820
2358,1-methylxanthine,Xenobiotics,Xanthine Metabolism,34389,LC/MS Pos,100001405,1974,167,6136-37-4;,80220,C16358,
1334,1-myristoylglycerophosphocholine (14:0),Lipid,Lysolipid,45453,LC/MS Pos,100001383,5481,468.3,20559-16-4;,460604,,HMDB10379
1445,1-oleoylglycerol (1-monoolein),Lipid,Monoacylglycerol,21184,GC/MS,100000924,2181.2,397.4,111-03-5;,5283468,,HMDB11567
1347,1-oleoylglycerophosphocholine (18:1),Lipid,Lysolipid,33960,LC/MS Pos,100001272,5700,522.4,19420-56-5;,16081932,,
1381,1-oleoylglycerophosphoethanolamine,Lipid,Lysolipid,35628,LC/MS Neg,100001569,5928,478.3,89576-29-4;,9547071,,HMDB11506
1428,1-oleoylglycerophosphoglycerol,Lipid,Lysolipid,45968,LC/MS Neg,100005716,5586.8,509.5,,,,
1404,1-oleoylglycerophosphoinositol,Lipid,Lysolipid,36602,LC/MS Neg,100001777,5577,597.4,,,,
1341,1-palmitoleoylglycerophosphocholine (16:1),Lipid,Lysolipid,33230,LC/MS Pos,100001511,5524,494.3,,,,
1440,1-palmitoylglycerol (1-monopalmitin),Lipid,Monoacylglycerol,21127,GC/MS,100000827,2119.5,371.3,542-44-9;,14900,,
1339,1-palmitoylglycerophosphocholine (16:0),Lipid,Lysolipid,33955,LC/MS Pos,100001263,5671,496.4,17364-16-8;,86554,,
1376,1-palmitoylglycerophosphoethanolamine,Lipid,Lysolipid,35631,LC/MS Neg,100001567,5940,452.3,,9547069,,HMDB11503
1423,1-palmitoylglycerophosphoglycerol,Lipid,Lysolipid,45970,LC/MS Neg,100005717,5549.7,483.4,,3300276,,
1399,1-palmitoylglycerophosphoinositol,Lipid,Lysolipid,35305,LC/MS Neg,100001655,5573,571.3,,,,
1371,1-palmitoylplasmenylethanolamine,Lipid,Lysolipid,39270,LC/MS Neg,100003000,6153,436.4,,,,
1439,1-pentadecanoylglycerol (1-monopentadecanoin),Lipid,Monoacylglycerol,34385,LC/MS Neg,100001431,5978,241.3,,190750,,
1338,1-pentadecanoylglycerophosphocholine (15:0),Lipid,Lysolipid,37418,LC/MS Pos,100002173,5563,482.3,,,,
1443,1-stearoylglycerol (1-monostearin),Lipid,Monoacylglycerol,21188,GC/MS,100000932,2186.6,399.4,123-94-4;31566-31-1;,24699,D01947,
1345,1-stearoylglycerophosphocholine (18:0),Lipid,Lysolipid,33961,LC/MS Pos,100001271,5844,524.4,19420-57-6;,497299,,
1379,1-stearoylglycerophosphoethanolamine,Lipid,Lysolipid,34416,LC/MS Neg,100001461,6200,480.4,69747-55-3;,9547068,,HMDB11130
1426,1-stearoylglycerophosphoglycerol,Lipid,Lysolipid,34437,LC/MS Neg,100001462,5826,511.4,,,,
1402,1-stearoylglycerophosphoinositol,Lipid,Lysolipid,19324,LC/MS Neg,100000656,5800,599.4,796963-93-4;,,,
1412,1-stearoylglycerophosphoserine,Lipid,Lysolipid,45966,LC/MS Neg,100004327,5798.7,524.4,,9547101,,
2437,"2,3-butanediol",Xenobiotics,Food Component/Plant,35691,GC/MS,100001582,1075,116.9,24347-58-8;,,C03044,HMDB03156
157,2-[(2-methylbutanoyl)amino]-3-phenylpropanoic acid,Amino Acid,Phenylalanine and Tyrosine Metabolism,44580,LC/MS Neg,100004535,4000,248.2,,,,
1547,21-hydroxypregnenolone disulfate,Lipid,Steroid,37173,LC/MS Neg,100001999,3931,245.3,1164-98-3;,134595,C05485,HMDB04026
75,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,GC/MS,381,1686.5,260.1,542-32-5;1118-90-7;,469,C00956,HMDB00510
279,2-aminobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1577,GC/MS,1128,1215.7,130,1492-24-6;,4.40E+12,C02261,HMDB00650
2178,2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos,100000125,1256,228,951-77-9;,13711,C00881,HMDB00014
2128,2'-deoxyguanosine,Nucleotide,"Purine Metabolism, Guanine containing",1411,LC/MS Neg,348,1759,266.2,961-07-9;,187790,C00330,HMDB00085
2065,2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,LC/MS Neg,100000135,1700,251.1,890-38-0;,65058,C05512,HMDB00071
789,2-deoxyribose,Carbohydrate,Pentose Metabolism,11734,GC/MS,909,1523.8,115.9,533-67-5;,5460005,C01801,HMDB03224
251,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1787,131.1,488-15-3;,164623,,HMDB00317
280,2-hydroxybutyrate (AHB),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",21044,GC/MS,100000933,1169.4,131,3347-90-8;,440864,C05984,HMDB00008
1050,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,GC/MS,100002070,1576,247,40951-21-1;,43,C02630,HMDB00606
1175,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5508,271.3,764-67-0;,92836,,
1176,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5705,299.4,629-22-1;,69417,C03045,
1448,2-linoleoylglycerol (2-monolinolein),Lipid,Monoacylglycerol,32506,LC/MS Neg,100000987,5988,279.3,3443-82-1;,5365676,,HMDB11538
246,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35431,LC/MS Pos,100001509,2439,246.1,31023-25-3;,6426901,,HMDB00378
1335,2-myristoylglycerophosphocholine,Lipid,Lysolipid,35626,LC/MS Pos,100001563,5450,468.3,,,,
1446,2-oleoylglycerol (2-monoolein),Lipid,Monoacylglycerol,35848,GC/MS,100000943,2170,410.1,3443-84-3;,5319879,,
1349,2-oleoylglycerophosphocholine,Lipid,Lysolipid,35254,LC/MS Pos,100001556,5640,522.4,,,,
1382,2-oleoylglycerophosphoethanolamine,Lipid,Lysolipid,35687,LC/MS Neg,100001651,5848,478.3,,,,
1429,2-oleoylglycerophosphoglycerol,Lipid,Lysolipid,46196,LC/MS Neg,100005719,5565,509.5,,,,
1342,2-palmitoleoylglycerophosphocholine,Lipid,Lysolipid,35819,LC/MS Pos,100001561,5482,494.3,,,,
1441,2-palmitoylglycerol (2-monopalmitin),Lipid,Monoacylglycerol,33419,GC/MS,100001048,2108,129,23470-00-0;,123409,,
1340,2-palmitoylglycerophosphocholine,Lipid,Lysolipid,35253,LC/MS Pos,100001562,5604,496.3,,,,
1377,2-palmitoylglycerophosphoethanolamine,Lipid,Lysolipid,35684,LC/MS Pos,100001652,5598,454.2,,,,
1424,2-palmitoylglycerophosphoglycerol,Lipid,Lysolipid,45982,LC/MS Neg,100005718,5497,483.4,,,,
2371,2-piperidinone,Xenobiotics,Food Component/Plant,43400,GC/MS,100004295,1190.6,156.1,675-20-7;,12665,,
1346,2-stearoylglycerophosphocholine,Lipid,Lysolipid,35255,LC/MS Pos,100001555,5780,524.4,,10208382,,
1427,2-stearoylglycerophosphoglycerol,Lipid,Lysolipid,41828,LC/MS Neg,100004076,5758.4,511.4,,,,
1403,2-stearoylglycerophosphoinositol,Lipid,Lysolipid,39223,LC/MS Neg,100003008,5725,599.4,,,,
114,3-(4-hydroxyphenyl)lactate,Amino Acid,Phenylalanine and Tyrosine Metabolism,32197,LC/MS Neg,240,1395,181.1,6482-98-0;,9378,C03672,HMDB00755
163,3-(4-hydroxyphenyl)propionate,Amino Acid,Phenylalanine and Tyrosine Metabolism,39587,LC/MS Neg,100002914,1658,165.1,501-97-3;,10394,C01744,HMDB02199
2188,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,GC/MS,1114,1252.2,102,10569-72-9;214139-20-5;,64956,C05145,HMDB03911
1164,3-dehydrocarnitine,Lipid,Carnitine Metabolism,32654,LC/MS Pos,100001508,1020,160.2,10457-99-5;,6991982,C02636,HMDB12154
1168,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,542,GC/MS,254,1203.5,116.9,625-72-9;,441,C01089,HMDB00357
2296,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,39600,LC/MS Neg,100002122,1670,194.1,1637-75-8;,450268,,HMDB06116
260,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,GC/MS,111,1205,177.11,2068-83-9;,11966314,C06001,HMDB00336
1177,3-hydroxypropanoate,Lipid,"Fatty Acid, Monohydroxy",42103,GC/MS,115,1187.1,177.1,503-66-2;,5459847,C01013,HMDB00700
1181,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Pos,100001145,3595,219.1,73141-46-5;,3017884,,HMDB00350
183,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2258,212,2642-37-7;,10258,,HMDB00682
257,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",21047,LC/MS Neg,100000936,1489,115.1,3715-29-5;,49,C00141,HMDB00019
245,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2106,129.2,51829-07-3;,47,C00671,HMDB03736
165,3-phenylpropionate (hydrocinnamate),Amino Acid,Phenylalanine and Tyrosine Metabolism,15749,LC/MS Neg,100000010,2830,149.1,501-52-0;,,C05629,HMDB00764
2159,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Pos,1053,1062,133.1,462-88-4;,111,C02642,HMDB00026
346,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos,100000096,1085,146.1,463-003;463-00-3;,500,C01035,HMDB03464
2297,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,35527,LC/MS Neg,100001423,1439,194,2482-25-9;,151012,,
100,4-hydroxyphenylacetate,Amino Acid,Phenylalanine and Tyrosine Metabolism,541,GC/MS,144,1630.6,179,156-38-7;,4693933,C00642,HMDB00020
164,4-hydroxyphenylacetyl glycine,Amino Acid,Phenylalanine and Tyrosine Metabolism,43525,LC/MS Neg,100004418,1630,208.1,28116-23-6 ;,440732,C05596,
113,4-hydroxyphenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism,1669,LC/MS Neg,1141,1716,179.1,156-39-8;,979,C01179,HMDB00707
68,4-imidazoleacetate,Amino Acid,Histidine Metabolism,32349,LC/MS Pos,100001207,747,127.1,645-65-8 ;,96215,C02835,HMDB02024
218,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2200,129.2,816-66-0;,70,C00233,HMDB00695
1563,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Lipid,Steroid,37195,LC/MS Neg,100002015,4548,239.3,,5127902,,
1565,"5alpha-pregnan-3alpha,20beta-diol disulfate 1",Lipid,Steroid,37201,LC/MS Neg,100002016,4287,239.3,,,,
87,5-aminovalerate,Amino Acid,Lysine Metabolism,18319,GC/MS,100000454,1620.8,174,660-88-8;,6992101138,C00431,HMDB03355
