pigID,group,feeding,farm,sex,dob,weight.b,dod,tod,euth,weight.d,pj.vh,pj.cd,di.vh,di.cd,co.cd,clin.st,clin.je,clin.il,clin.co,clin.nec,hist.pj,hist.di,hist.co,hist.nec,image.index,notes
198A,CSS,eg,prison,M,2012-11-05,1515,2012-11-12,8:40,Y,2399,652,161.1,696.8888889,147.8888889,270.7,1,1,1,1,Healthy,0,0,0,Healthy,,
198B,CSS,eg,prison,F,2012-11-05,1321,2012-11-10,0:00,N,1830,0,67.6,0,124.9,152.5,4,6,6,6,NEC,4,4,3,NEC,,
198D,CSS,eg,prison,M,2012-11-05,1312,2012-11-12,9:45,Y,1981,897.05,129.55,694.3846154,129.3,235.35,1,1,1,1,Healthy,0,0,0,Healthy,,liver weighed after tissue obtained
199A,CSS,eg,prison,M,2012-11-06,1016,2012-11-13,8:45,Y,1535,631.5,125.45,961.45,154.8,264.4,1,1,1,1,Healthy,0,0,0,Healthy,,
199B,CSS,eg,prison,F,2012-11-06,1001,2012-11-09,0:00,N,1007,316.5714286,85.15,388.05,90.8,294.1,2,2,2,2,Healthy,3,2,1,NEC,,
199F,CSS,eg,prison,F,2012-11-06,852,2012-11-09,6:00,N,841,350.05,83.55,424.65,88.2,262.35,1,2,2,1,Healthy,2,1,1,NEC,,
199H,CSS,eg,prison,F,2012-11-06,607,2012-11-09,9:30,N,589,377.6,95.85,206,79,266.3,5,2,2,2,NEC,1,3,3,NEC,,
199K,CSS,eg,prison,F,2012-11-06,939,2012-11-13,9:45,Y,1501,391.1,102.35,857.05,123.7,251.55,1,1,1,1,Healthy,0,0,0,Healthy,,
199L,CSS,eg,prison,M,2012-11-06,1039,2012-11-13,10:10,Y,1522,454.9,126.15,943.85,140.75,269.05,1,1,1,1,Healthy,0,0,0,Healthy,,
199N,CSS,eg,prison,M,2012-11-06,941,2012-11-10,16:00,N,1156,229.7647059,86.6,0,0,199.85,5,6,6,6,NEC,3,4,3,NEC,,
200F,CSS,eg,prison,F,2012-11-07,900,2012-11-14,3:00,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,
200G,CSS,eg,prison,M,2012-11-07,1323,2012-11-14,8:40,Y,1912,732,121.75,804.65,121.8,256.75,1,1,1,1,Healthy,0,0,0,Healthy,,
200K,CSS,eg,prison,F,2012-11-07,1026,2012-11-09,16:00,N,995,559.5,81.4,547.65,85.45,299.5,1,4,3,1,NEC,2,1,2,NEC,,
200M,CSS,eg,prison,F,2012-11-07,1118,2012-11-14,7:45,N,1816,378.7,113.5,358.25,116.5,156.95,1,4,2,4,NEC,2,2,3,NEC,,
200P,CSS,eg,prison,F,2012-11-07,1268,2012-11-14,6:00,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach"
200Q,CSS,eg,prison,F,2012-11-07,1412,2012-11-14,10:00,Y,2158,1013.5,98.3,1095.05,111.15,256.4,1,1,1,1,Healthy,0,0,0,Healthy,,flim on inner layer of stomach
204C,CSS,eg,prison,M,2013-02-20,806,2013-02-24,21:30,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,
204E,CSS,eg,prison,M,2013-02-20,728,2013-02-25,5:45,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,
204M,CSS,eg,prison,F,2013-02-20,1103,2013-02-27,13:26,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,No villi in colon
204N,CSS,eg,prison,M,2013-02-20,1029,2013-02-27,14:00,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,
205B,CSS,eg,prison,F,2013-02-21,1165,2013-02-28,10:00,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,,No villi in DI
205H,CSS,eg,prison,F,2013-02-21,1040,2013-02-27,7:30,N,1345,627,84,536,115,148,1,1,1,2,Healthy,1,0,1,Healthy,,
205M,CSS,eg,prison,M,2013-02-21,857,2013-02-28,15:15,Y,1208,537,78,470,145,156,1,1,1,1,Healthy,0,0,0,Healthy,,
206A,CSS,eg,prison,M,2013-02-22,1260,2013-02-26,6:00,N,1224,NA,NA,NA,NA,NA,1,1,1,1,Healthy,NA,NA,NA,NA,,
206D,CSS,eg,prison,F,2013-02-22,1222,2013-02-28,16:50,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,
206H,CSS,eg,prison,M,2013-02-22,1187,2013-02-28,3:00,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,,
212E,CSS,eg,Rosenbaum,F,2013-08-22,1165,2013-08-29,9:50,Y,1581,663,107,739,121,171,1,1,1,1,Healthy,0,0,0,Healthy,,
212H,CSS,eg,Rosenbaum,F,2013-08-22,1056,2013-08-29,10:25,Y,1563,554,81,769,114,224,1,1,1,1,Healthy,0,0,0,Healthy,,
212I,CSS,eg,Rosenbaum,M,2013-08-22,1280,2013-08-29,11:00,Y,1900,690,84,892,118,211,1,1,1,1,Healthy,0,0,0,Healthy,,
213G,CSS,eg,Rosenbaum,M,2013-08-26,958,2013-08-31,14:45,N,1118,444,84,NA,60,150,3,4,5,5,NEC,1,4,3,NEC,,
213K,CSS,eg,Rosenbaum,F,2013-08-26,771,2013-08-31,22:00,N,1133,330,68,NA,73,149,3,1,4,5,NEC,2,4,4,NEC,,
213N,CSS,eg,Rosenbaum,F,2013-08-26,845,2013-09-02,7:30,Y,1288,317,63,393,84,176,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,
214A,CSS,eg,Rosenbaum,F,2013-09-19,800,2013-09-26,10:40,Y,1232,422,89,626,104,227,1,1,1,1,Healthy,0,0,0,Healthy,,
214C,CSS,eg,Rosenbaum,M,2013-09-19,945,2013-09-21,16:30,N,935,308,62,312,74,119,2,3,4,1,NEC,2,2,0,NEC,,
