pigID,group,p.53,p.54,p.55,p.57,p.59,p.60,p.63,p.64,p.396,p.485,p.512,p.513,p.514,p.527,p.541,p.542,p.554,p.555,p.563,p.567,p.575,p.577,p.584,p.587,p.590,p.594,p.599,p.605,p.606,p.608,p.1105,p.1107,p.1110,p.1121,p.1123,p.1125,p.1126,p.1284,p.1299,p.1301,p.1302,p.1303,p.1336,p.1356,p.1358,p.1359,p.1408,p.1411,p.1412,p.1417,p.1419,p.1437,p.1444,p.1476,p.1493,p.1494,p.1498,p.1508,p.1512,p.1516,p.1518,p.1519,p.1549,p.1558,p.1559,p.1561,p.1564,p.1566,p.1572,p.1573,p.1574,p.1585,p.1589,p.1592,p.1603,p.1604,p.1638,p.1640,p.1642,p.1643,p.1648,p.1649,p.1651,p.1659,p.1669,p.1670,p.1712,p.1768,p.1769,p.1827,p.1898,p.1899,p.2132,p.2137,p.2150,p.2183,p.2342,p.2734,p.2829,p.3127,p.3141,p.3147,p.3155,p.4966,p.4970,p.5086,p.5341,p.6146,p.11438,p.11777,p.12035,p.12055,p.12080,p.12102,p.12129,p.15053,p.15076,p.15095,p.15122,p.15128,p.15136,p.15140,p.15308,p.15365,p.15500,p.15650,p.15676,p.15677,p.15686,p.15737,p.15747,p.15753,p.15772,p.15778,p.15821,p.15835,p.15948,p.15949,p.15958,p.15990,p.15996,p.17747,p.17769,p.17805,p.18319,p.18349,p.18362,p.18369,p.18374,p.18467,p.18474,p.18476,p.18494,p.18497,p.19323,p.19324,p.19503,p.19934,p.20488,p.20675,p.20699,p.21023,p.21025,p.21044,p.21047,p.21049,p.21127,p.21183,p.21188,p.22001,p.22110,p.22116,p.22130,p.22132,p.22138,p.22171,p.22189,p.22294,p.23642,p.27414,p.27531,p.27672,p.27710,p.27716,p.27718,p.27728,p.27738,p.30460,p.31453,p.31522,p.31555,p.31609,p.31900,p.31904,p.31928,p.31938,p.32197,p.32198,p.32306,p.32328,p.32342,p.32346,p.32348,p.32350,p.32352,p.32379,p.32393,p.32394,p.32397,p.32398,p.32412,p.32415,p.32418,p.32426,p.32452,p.32489,p.32492,p.32504,p.32511,p.32553,p.32586,p.32599,p.32635,p.32672,p.32675,p.32815,p.32980,p.33228,p.33230,p.33418,p.33422,p.33441,p.33442,p.33447,p.33453,p.33454,p.33477,p.33587,p.33822,p.33871,p.33936,p.33937,p.33939,p.33945,p.33947,p.33950,p.33955,p.33957,p.33959,p.33960,p.33961,p.33969,p.33970,p.33971,p.33972,p.33997,p.34033,p.34035,p.34092,p.34093,p.34214,p.34258,p.34285,p.34384,p.34407,p.34416,p.34419,p.34456,p.34585,p.34666,p.34732,p.35107,p.35114,p.35127,p.35128,p.35130,p.35133,p.35137,p.35157,p.35174,p.35186,p.35253,p.35254,p.35255,p.35256,p.35257,p.35320,p.35322,p.35431,p.35434,p.35436,p.35437,p.35482,p.35490,p.35626,p.35628,p.35631,p.35638,p.35661,p.35669,p.35675,p.35678,p.35687,p.35688,p.35691,p.35718,p.35819,p.35854,p.35855,p.35883,p.35963,p.36103,p.36594,p.36746,p.36747,p.36752,p.36754,p.36768,p.36776,p.36808,p.37077,p.37095,p.37104,p.37231,p.37253,p.37366,p.37418,p.37427,p.37459,p.37478,p.37506,p.37539,p.37752,p.37789,p.38002,p.38075,p.38077,p.38156,p.38313,p.38314,p.38395,p.38637,p.38763,p.38768,p.39270,p.39512,p.39592,p.39627,p.39864,p.39994,p.40008,p.40420,p.40499,p.41419,p.41754,p.42103,p.42315,p.42574,p.42603,p.42629,p.42982,p.43343,p.43400,p.43488,p.43501,p.43502,p.43522,p.43525,p.43588,p.43761,p.43787,p.44552,p.44562,p.44563,p.44621,p.44630,p.44633,p.45413,p.45434,p.45453,p.45968,p.45970,p.46196
204G,LAC,1015129,6053781,,961726,178409,1275891,3678239,29150530,15277,38160,489378,543068,124217,216256288,117264,1041975,43924,,38981,942928,104637,14709492,5902987,12979088,326120,66427,195986,8304,115803,,10184368,151421,580394,103063,115431,601492,33148752,916930,3468275,537993,4914766,78052,4397945,20422,5238305,684207,592379,2383,19866,3125,,121392,967025,2319091,1043528,243591,102697,162201,226910,852515,146565,,678670,136994,33955,124196,3995976,137958,506355,23576,34597,14914,17754,223803,,628912,167028,74267,162277,91042,5603460,28600556,63120,,12773,27043686,60314,100170,16560,,10491110,,263137,8488,,44854,16536,24307,11790,152151,417637,154063,158471,101808,105044,1239206,,896796,173363152,6683930,10053,833822,,,27157,163665,14939,,15738461,22650,25388,2290594,,117762,978688,40965,112809,17574,59139,699841,5855,39646,89275,1415584,170761,163687,3181,132868,18392,15092,1081085,,186650,92440,288527,126592,3897,168500,51964,49282,,33391,61928,10382,465620,43658,471252,14314911,168044544,,870288,20272,5365207,4172224,48574,63470,46275,,49174,4305,104436,157463,31038,3267,19011,173281,26739,,5040,174850,234635,996543,86796,23041,2219195,22287,1179835,,863861,136601,2378,26489,,,5348,25192,77021,672542,244266,261179,,518461,561021,1257900,231113,154313,68637,10696,48570,73298,72776,10548,52793,4952,183784,10927,62688,71015,4099489,2028,65608,,216412,116656,59117,9838,230133,479781,173233,,249151,285495,540589,155021,33836,1176225,482656,104060,137569,53325,165642,267608,45698,377852,16924,6524,2555644,61441,,1708827,1402971,15230,54003,30420,13726,461829,14669,1309585,,348250,74432,7274,114400,,783552,3326,1784043,84821,22869,58410,11196,3841200,147966,1393060,,9104,15028,40184,31221,13000,101487,183755,240600,119518,37313,129150,4933,,77900,,237393,169518,19912,12286,12776,284365,41101,169226,,13320,54925,15028,33593,,2125814,105817,,178069,9047,26982,236772,35603,61350,2295,266334,164004,15135,77562,78975,155695,271764,7597736,16090601,27468,243539,,,146543,,100223,1910320,41498,19836,476351,1238495,76993,5002,,1431,84242,19338,,,46261,21607,35245,284098,,,,49393,,70142,5986,65769,463732,183797,634361,44046,,,184864,7015715,3140,303209,31006,348035,12238,30831,51606,566276,3961,94414,,29265,5681,59373,12280,1021230,74756,20025,3676,
204H,LAC,803638,7152755,,1647023,155267,1043157,5480767,21069364,,49107,207621,328386,120075,203662128,68085,863032,14981,,78376,641669,75114,21774112,10280967,13838790,179971,315044,214686,8723,110773,,6999688,125060,610898,153252,116494,547105,38720352,602410,2547604,590277,5444855,101431,5105862,32306,7488411,946207,,3116,12588,20789,,133376,1076627,2297772,2064160,127122,130216,150229,435338,847460,333356,,507379,128267,14699,160470,5382119,55658,549734,20097,28080,24846,8326,571905,,844224,197748,94817,148772,72878,5013679,42904604,80458,,,26782220,94312,73206,38497,,16648236,,390391,10265,,32720,,,7537,153341,665046,117173,195399,60445,281130,,,1063062,206288000,9832212,13189,768627,,,31587,343109,12853,38315,9656147,,28601,4477928,,210932,874073,37895,113622,18885,,740080,4294,52398,288029,993051,249532,324518,3092,74826,12615,40901,1763449,,146418,107758,230590,,8229,83833,51153,47385,,23398,225043,19331,562464,28573,557122,98399688,236340848,228839,1264201,,5244842,3981860,43009,78504,70604,,79165,,81119,154830,38316,5279,85043,60238,23019,,,347876,269413,1143805,77338,11650,820889,,759520,,536542,147909,8034,24973,3751,,5851,21760,49506,570199,308603,65865,,726978,708907,423024,274049,368849,30842,26841,44100,57990,55786,21417,22159,2088,97229,9342,52544,82030,6453904,20819,35276,,192580,39132,52697,9925,1072718,918562,293018,6493,141942,189632,346344,186816,19955,1079447,501638,104604,276434,52189,68746,242349,46972,380258,20270,5512,3733587,61244,3068,1889196,1236413,17969,107517,33959,19847,470073,,1042399,,153396,64473,7144,117854,,472013,139941,1783507,56074,1773,39077,6079,3088001,96067,1327270,,13591,12968,36523,31100,21965,140142,213668,418112,143858,95565,143760,6309,,100219,,82683,158522,,12022,15430,251507,46320,283578,,3187,32356,3846,19126,5722,3163072,129015,12795,176699,,23833,221739,20571,40048,12264,206458,144861,8478,183575,73981,149955,372228,7536034,20614250,41910,122272,17373,34649,148486,74476,79051,2652017,23943,27272,800001,1074230,109370,2663,,987,89134,44837,,,63353,14698,554948,371212,,102493,,50804,,104454,5166,172041,594350,199504,488209,73471,,,248667,66560716,3806,336659,6707,305844,21644,62582,61685,644627,3555,90271,29330,28654,7435,71785,10307,2824737,110057,20194,6647,
204I,LAC,1117915,7256092,28150,1048396,160508,800532,4428885,23006272,10590,16553,375092,756356,181578,227213328,263592,613970,27936,,40546,1541751,79959,12581966,7082434,12811010,244467,136771,379082,13324,136903,,8427277,370530,808364,121697,119795,400745,33229312,955524,2733203,390070,5608247,100189,4461203,23219,6090659,517113,687887,,13710,14963,,111444,978693,2575929,627131,216600,208243,158094,396360,590788,214284,,356412,109434,,133193,7628688,91214,445581,26525,54353,15310,5380,268489,,744893,212510,,88595,91429,4036571,49827944,64320,,6392,15284817,80570,100878,40744,,10706328,,317094,12562,,30529,18703,18634,8839,176467,170036,156625,251734,80898,491101,746929,,721720,159607968,7491123,9217,360222,,,22355,71236,15027,,8074931,,16411,5756092,,144586,451152,40687,84600,23276,96891,529257,5120,32093,92297,1195800,126009,146735,3200,84633,15390,29221,374535,,331402,100213,355928,106975,3341,121536,32923,60320,,,175166,,624103,35071,463341,3093121,151044720,244842,922457,,3594539,3688615,39539,44439,67405,25362,67768,,158257,123190,26077,2773,54210,57827,24638,,,205754,416417,642690,67252,20131,439547,27137,1008296,,477074,134251,,29727,,,3397,14196,70666,236320,439684,40811,,715318,849787,1261944,263214,34512,43499,5539,36855,25975,31367,13045,,,65930,5951,38289,97124,6159238,12997,41871,,101681,23163,59910,3642,1341621,867059,194596,12041,187722,91933,420865,168997,68803,452676,442845,78472,169525,33004,37669,190768,49547,368640,19479,8348,2575755,47549,3400,1635464,1148863,11301,76247,22623,,322360,27453,997893,,147716,77771,6140,309089,,159990,22374,1385664,68970,23419,16502,8699,2873908,151061,1504355,,12768,12971,33275,32492,21163,91945,241287,177155,126846,69027,72523,3455,,33559,,94801,156204,20992,14053,,125322,32407,194159,581493,4737,37000,5155,11226,3147,8577290,134683,19760,163805,6594,22015,162540,11836,25861,4526,127675,169349,,,70404,139643,562671,9022425,24522728,21014,110105,12075,18037,193172,,104622,3271997,22652,16921,984448,1151067,90333,6877,,3067,99477,12865,,,54561,14295,,277919,10905,51742,,65246,,,7482,203504,506474,244859,165005,24471,,,227777,6978899,3389,185466,6150,365932,34469,45969,53373,837011,3780,71578,,22521,5623,48980,16468,1293927,80325,18264,8213,
204K,MIX,2190246,6368437,14292,1548866,200612,920166,2865484,27591058,,57539,511519,592420,253161,133725832,261575,712763,,,38899,2296662,,10804600,7189356,14216792,114826,247081,364949,27951,224551,,6350136,111223,424041,129886,60374,428203,31564360,902922,1435628,602706,8034938,85764,4602662,18349,6395787,608671,,,25871,17682,20484,71339,909194,2646897,1722663,263116,82680,195455,387380,800184,213063,,536785,119626,48094,94472,6464187,110702,278782,8483,31594,16076,8479,499278,91018,208938,117755,,112934,87594,4922075,43466888,53018,,,4778410,48434,104570,17239,,14598681,,415228,23038,,85458,,,8456,96407,588282,,517663,91813,758729,792420,,576587,136752896,6894928,10782,581969,,,27423,284423,10327,,10094565,,25159,6371458,,,858610,36017,87190,18613,,575075,6638,55189,220017,1315666,254752,232498,3420,52953,37120,27779,1755838,,141161,80901,357777,86262,3674,165300,77272,48151,,18713,183370,7423,418324,8830,378199,26393772,178717872,243519,1125264,,4984157,7413306,40148,423882,59916,,56333,,125456,151441,19212,4652,151567,56545,19639,,,189235,167512,2171716,85789,36968,542793,,833723,,448163,108567,,36178,6672,11782,3689,28122,31618,513589,317455,101098,,474937,2102029,212737,179055,,71290,21464,33420,27437,46691,9908,33330,,117447,8694,42642,70913,5467024,2548,54987,,149137,35106,71634,10675,438116,583932,164976,,181189,113287,388752,147973,27273,593475,564819,79671,172474,30076,55233,286260,43437,800355,17910,6209,1969008,58762,2644,1237708,578630,21334,71681,25643,17125,,31975,961400,,126916,36997,4492,129431,,264411,57381,1128676,71697,,28714,13142,1688766,134525,1447170,,8896,11663,29848,34706,24289,112852,116485,203225,60744,68349,99828,,,101208,,182426,128888,,9384,,105828,16930,211886,,5743,59318,9933,15373,,1936195,105202,17681,150474,,17917,61837,44002,36695,5444,187457,176728,8222,44006,94901,139425,551584,8488456,20111066,33781,110020,18349,,323593,73897,74642,1494778,50473,16879,402737,1138107,81239,,,,92711,24178,,,53159,,265227,514800,,,,102713,,172977,5336,178768,314999,247402,266548,42618,,,142525,10019051,8044,216260,15703,477707,104963,87936,73168,939487,4218,50967,17972,8936,5985,53414,11739,693069,68148,13824,3524,
204L,LAC,1036711,7419962,,1164628,167111,958273,6441381,21099806,10003,45482,298606,581834,117678,226855552,57909,693192,39538,,,641558,158177,8628725,6384691,6280183,246335,1300343,412297,5061,66828,,8937340,426759,1087261,118033,83340,479403,37694424,3377584,2731769,586284,7647578,120830,5628855,39619,6072881,715923,699681,,7908,6305,20219,127637,848717,1523707,1029732,163961,142697,196178,320161,619585,136177,,364608,127706,21318,306195,5323990,32452,310171,17208,39172,21728,17614,163969,45483,602008,282507,51982,65548,100254,3159963,39889648,50106,,,21520224,42999,118020,20575,,13760229,,403937,12851,,23359,32141,,12935,141572,181244,146167,111479,42627,147752,518642,,607379,143227840,6085188,35045,261863,,,31381,,10751,,10978908,,32020,1839603,,235234,420257,55137,105743,22585,91163,553042,7095,34981,65555,1339227,177110,236532,5230,102698,10900,53566,751509,,323671,115765,79599,57708,3507,122869,27894,134222,,11655,206575,20013,882743,55014,418635,2514003,190499984,395639,924329,,3465594,3430977,39846,28776,56151,49644,73370,,101554,135310,12644,3582,43528,101687,27825,,,264754,126934,560084,68449,22582,368071,,915885,,570172,119756,3940,38414,5918,5954,,6754,65493,282017,482030,34943,,426601,704713,368531,285849,,67131,7470,34483,8673,27500,34183,52433,9404,95793,10930,31805,131623,5817902,41950,46321,,189038,20425,98988,26580,1218327,2054552,361899,34330,190791,56232,462456,207075,103136,162913,570297,128987,591096,87841,36735,160546,51538,511576,20881,7501,5129211,98211,4182,3326482,2144521,20678,89334,44115,17844,625528,70444,1211642,,136151,122692,24401,117478,,172444,89823,2777305,76947,,42957,7502,1701122,198112,2040673,,16484,19233,46724,44206,38010,307008,413716,724560,307334,224668,319207,4207,8526,66461,,51926,82331,29089,10585,33836,319870,62774,204863,,9040,51853,11139,36813,8924,2201437,181978,20804,192111,10281,64122,283216,9428,29710,2695,96654,191888,11613,,,209772,665735,7512431,20435828,78555,147581,52429,16356,259838,36087,140487,4460192,53710,26426,312058,1649468,100741,9593,,,126611,17689,,,54793,26771,12811,387689,,81252,,67171,,,7954,221663,58119,682484,106623,50656,,,306565,7514924,6421,87000,4441,319524,38182,69863,56015,808138,7098,186445,82078,80000,10783,194587,13755,,118105,17873,7202,4670
204M,CSS,1621229,7233134,,823622,297300,1028603,4210276,34203564,,,547409,286694,68613,191485280,155435,796875,,,,,148603,13165476,9067619,21368462,374612,556370,363454,7376,99146,,6081865,199644,863350,85914,136721,475326,52465276,1081042,3654571,582291,7532981,141998,3143286,17082,4499576,619749,,3953,9993,12629,17907,82275,956236,3219610,1641155,220790,150387,201066,266207,877883,487253,,617878,89655,27211,124621,8174202,79503,359240,17816,38726,19419,6610,455888,,802424,253722,88872,88309,76002,7097204,45261800,,,4875,36862740,48259,83461,29452,,11119254,,317810,8955,,26376,,19161,9211,151455,512458,105517,123179,170046,120828,2167442,,1200538,176902896,15174490,13314,,,,32546,480437,15914,,9321926,,29224,2611408,,105884,362574,32850,82149,23012,,922539,5371,60714,146198,1562074,295537,324099,4130,114531,10306,24521,1225116,,171681,69508,316052,201564,6770,128185,57179,103162,,41593,154411,21400,1096166,38761,515429,14428927,274288288,529848,1660814,,4900982,5033744,37381,711801,44245,,101642,,196019,122261,81090,5173,21956,39985,23851,,9415,176461,14728,369029,79903,20630,619252,,1013329,30857,837948,113042,,32087,3691,,5462,24508,115165,232350,498220,20378,,391585,739383,142419,179446,,64452,8507,49466,108225,,9710,16534,,59649,6367,32088,165048,5033227,,35322,,149717,,66375,,554586,563050,136376,,148436,70752,469977,180217,80207,872372,668477,71168,134143,31526,26168,357446,47993,319980,,5686,2319261,32922,2862,1162817,295805,18442,73731,29814,10267,328141,,1053900,,31545,114843,5091,147501,27932,123896,32995,1098997,70883,,33827,6275,1999481,121030,1065260,,19777,14939,35229,30830,19632,115508,115305,174032,53477,67451,58675,,,38748,,82501,192610,19895,8923,,201923,29908,234641,,6040,40142,8778,21921,4553,5365888,120972,20939,177431,,19077,293849,12315,95615,7906,60001,171565,12523,59875,54429,112538,400281,8571634,23958968,23865,65029,,,378835,,87471,3042218,47750,16121,99338,6596787,136704,11308,,3930,83660,30524,,,40686,11912,251581,297313,,109200,,37062,,110366,5894,106244,86064,263376,268947,29506,,,218428,1443095,6012,102661,6149,364671,57155,31688,107320,872173,3572,71013,16174,16939,5567,61274,14938,224731,85467,16620,,6911
204N,CSS,1982435,9720759,15181,1844175,261357,1002812,5553461,27650302,18876,60017,370067,841269,171471,283520128,64304,863100,,,26922,,159357,13985540,9091786,21906664,174878,2792945,270033,23621,153449,,5677698,330373,905303,117482,118040,483480,51519556,3262883,3557141,819660,10560512,186234,4589168,20689,6306105,891502,,2405,5172,26183,16515,118851,1312795,3369362,2244708,229187,104110,355110,291669,1016309,555565,,569336,131048,32988,205661,8424538,86492,328150,14038,112362,21988,6890,546132,60281,208785,205939,,92874,164046,5684444,46786856,139198,,,6710552,33012,131387,20921,,14625549,40186,585675,17656,,23707,50472,27877,8865,115299,612905,135555,188245,186052,414820,,,1590856,173762896,16990248,13085,,,,39896,581525,12163,40175,17715082,,27330,6047253,,236323,301623,37238,93087,21614,,732687,7437,52903,282633,1442639,,220415,5798,56745,8024,54921,2660647,,219502,86422,151413,352577,4088,169743,48887,140371,,22627,187230,18575,983589,51966,467015,83313544,263805792,490155,2353738,,5208297,4573139,41962,642512,84642,,119136,2889,205791,159277,122973,8787,44983,57350,17891,,,293976,37344,87475,116502,28039,477084,,622356,,478176,140048,5170,35658,4463,6841,6833,20837,135421,214650,670029,28535,,199260,1436624,206007,159348,567222,108460,12243,49689,30375,,13233,24929,2308,53838,20659,38947,99797,4763413,,59586,,392045,33690,87483,32434,370838,2336599,441571,,143138,51265,514583,162019,72638,654239,724842,85091,669365,93723,18844,382141,73158,301423,22742,7787,5193970,92642,5997,4182630,2962641,38634,172604,29849,13848,675844,,1167823,,145386,105655,23132,103445,,122620,37081,3552528,79193,,68161,8296,1470163,178577,1397868,,15182,17329,25841,35950,32277,294118,295434,668577,222992,239694,215470,5892,,68828,,113343,100302,29240,10288,16286,460982,84727,270842,,6731,56409,7444,66300,11806,2673378,156135,,256452,20938,71778,,19480,43273,8649,143059,179244,10595,114736,66002,164241,499543,8173900,19459506,229464,145301,83777,28097,223998,44166,133115,3181746,57241,20737,212694,3788574,183684,13652,,2083,73952,35009,,,58579,21693,,420801,,60011,,32026,,,6590,80980,337859,485819,158588,31810,,,213940,886674,7200,60398,3791,544659,76937,26370,92083,781535,5388,252751,62113,43310,15564,239530,15201,1810330,193938,22314,9058,5224
204P,MIX,1612645,8321986,20187,2513442,190518,951084,4241119,16117629,22285,,378006,774381,143003,324773760,153577,773455,23384,,33493,3488617,175056,9776283,9848387,19875208,223297,1003758,413187,4309,61090,,5399799,225696,828881,96590,96069,418661,51967056,5004388,2130347,807312,8036416,178076,4161214,21176,5072266,334151,574826,,8867,23716,20871,124812,1021205,3541592,1422784,151920,105350,236000,357424,840422,353954,,598746,129717,24205,184631,9428012,57649,221587,16587,31839,21910,13323,205748,17079,249658,264648,,53729,96561,4405625,37759324,29198,,8109,1550672,48347,152128,25837,,14606496,28205,440096,17406,,21696,29753,14532,9534,121908,287663,68358,127873,110311,417046,550013,,1018193,123082088,10707864,17564,,,,43347,363569,12438,,10776759,,35261,7197745,,166595,204892,37630,93633,12243,101725,690494,6054,52161,78758,1477481,,324052,6753,91201,15543,40764,1739845,23653,229542,70036,203046,140050,3335,157876,51468,97713,,27493,265077,19249,662965,54870,235904,1713921,253616048,,1473221,,4751610,3963704,41540,788182,53896,26718,71551,,559593,133386,44469,3658,74260,88258,23065,,,218952,545288,750631,80464,37299,320373,,686689,,537865,122295,3917,31063,9673,17544,3936,16833,157546,143772,692576,28591,,332132,838955,258748,197042,,72678,12282,58534,29777,19905,9949,16775,8184,37366,7743,25906,86676,1701948,3597,108758,,335806,24008,76999,29464,185844,2160961,432578,27440,148585,34271,472596,160913,156099,233965,618813,60641,834834,85710,37909,302687,55702,583921,23294,7995,5118690,112031,5269,3883769,1925243,24503,42869,27749,7872,504243,45368,786570,,358480,140238,31285,100246,,93587,157188,3620591,77105,,30811,13929,963295,194006,1974582,,17671,17380,34999,40490,27525,335133,451616,714185,264194,304950,351752,5029,,39521,,79745,80361,31527,10706,27791,402193,72165,266924,,19334,61159,15476,41302,8190,1233919,132374,20647,255605,14246,99396,240692,24993,49532,4059,74249,198336,16067,,80191,197312,888213,8085260,20285852,218149,120337,80266,23491,307370,53203,116563,2550635,73958,9470,1443795,2793332,152871,10062,,4443,75963,12484,,,40257,29784,,338765,,105904,,38820,,95471,6707,129654,47184,279893,199926,102858,,,251497,6954234,6002,112069,6930,366618,59930,133124,148253,810970,5387,283048,53855,40965,12738,249866,12998,,202029,33692,7475,6807
205B,CSS,906019,5451224,26180,481462,217960,941115,3803710,33000306,9063,94692,418122,721347,119103,179905856,97011,575738,28970,,,,54488,5943838,6366253,11544694,316547,119021,334314,13109,65683,,8002830,207910,617712,112200,94013,447006,33685072,1070521,3031454,456116,5593730,90830,4278152,19098,5478093,513339,683310,,15877,25076,13315,120249,893812,2208739,599806,131589,104625,239324,93959,1016309,342961,,319258,71734,21708,125231,10509636,136699,397302,19423,46762,18137,22818,166383,,915811,305959,,114869,72694,8957216,23257406,99168,,8525,52223928,81158,75630,38323,,15675578,,292705,7690,,34638,28688,19720,14570,166038,413297,117761,225776,119618,138865,961409,,482621,260078688,14323114,14647,,,,12768,185619,11355,,15946393,32118,20456,3776667,,129651,386726,36861,118586,19100,,455734,5473,30664,101728,1526216,117546,161495,3537,81782,2978,39577,328986,18721,208768,75722,65503,103544,3755,112413,41730,43129,,47130,112140,6276,570550,14400,367035,1425178,192824832,515990,573838,,5009467,2959628,44894,455151,55570,,76334,,108022,152657,28278,3760,31294,116150,30984,,,141947,235435,99628,83411,14080,662551,18152,736539,,571343,136147,2231,28056,15870,16484,6202,8274,92305,226711,440031,,,433491,584090,173126,319809,37173,40741,8999,29683,24073,22384,13233,28586,4731,69188,4537,48471,85110,4092552,1925,31203,,160851,35775,61490,5942,594116,847109,239130,,182801,66426,549293,173566,82399,190761,408513,72155,237354,42941,18787,390709,45895,145825,,13659,4394692,61244,5588,1772638,1780415,10839,51133,25777,11421,368335,48399,987559,,215782,38207,14563,275343,24014,114777,5377,1676353,72815,36597,39110,6142,1251728,110952,2337833,,8031,14096,32668,27339,16339,150979,277375,362363,201994,94532,123379,2768,,34034,,66432,150349,20179,8143,,181572,38309,138215,,8417,58264,6392,21286,5575,5165321,107500,19077,120084,,27820,97907,7579,23026,5786,147364,135797,,33312,135253,166606,236652,8036649,16167822,51099,145196,20058,31674,271599,37247,117624,2497160,39217,22982,369672,5646881,90616,5342,,6483,91788,15410,,,51554,21168,36901,484511,,,,71203,,,8706,239735,71342,156276,162444,19829,,,100678,1630265,4998,138599,3982,170201,29903,32953,56887,1006559,8686,68329,16770,29503,7616,87721,12873,183700,67269,24775,6071,7569
205C,LAC,1241841,7666541,61869,1411202,193663,681289,4110506,14913136,8705,74369,540250,793051,445407,1019410688,179043,2019633,16548,,,2614913,204429,5349944,7687112,17000904,327410,1392602,346517,187284,194752,,2988678,264184,995626,113610,436933,333789,94642672,2056899,1743664,506738,9466918,356001,3541948,27148,5648223,477323,,4501,10210,34019,28646,686160,1139936,2871253,1742691,178801,110453,325165,129780,1935033,107215,,611020,130990,12991,127048,11834832,,843900,94507,85529,26319,22410,472007,,797314,229636,83882,74629,60906,9110472,35561508,110718,,,9013694,89308,87506,39330,,14614311,13398,376532,9730,,31474,,18917,15008,176120,917283,125058,255946,247093,360795,1162900,,463335,241791440,33315204,12692,1334099,70829,,28973,1148592,15760,,14791248,,32064,4240558,,170460,280569,35527,49011,14754,,546186,6726,54727,240870,1236365,237762,384168,8745,84924,20848,59622,963277,35926,247100,82472,338387,93516,4089,311777,57311,71437,,64664,349385,31493,701761,29640,312400,11741332,190907904,387172,1300138,23889,8703019,4452212,22043,,,,86759,3152,137445,70147,12911,5281,63769,56820,26333,,,125804,261021,1550891,98960,17980,1422006,,806423,27291,759489,129404,12189,40141,10836,16611,6556,12725,78579,334416,693456,54459,,960666,1071057,435005,417245,75091,67554,11369,52993,18553,29255,16156,18077,,63182,12278,29199,93116,5045254,,27041,,302418,36133,88939,25093,618823,1390787,284844,,280724,67018,461457,138838,110451,743519,682080,62474,378055,58283,51563,261174,60583,584845,50971,7350,3506872,79711,6018,2526857,1357945,24214,49293,25358,6522,349822,35402,505358,,273937,90443,16424,145164,70994,171529,119165,2263808,81096,,56580,14040,2277890,157320,3085628,,8417,17136,39078,38332,23198,285649,289826,415081,198414,187853,192596,4984,,40852,,119062,100591,37350,11909,25474,387248,67408,287129,,9267,71072,9001,41836,8924,1721138,132103,19605,377475,8125,30482,,38984,42097,,127785,215858,13505,,90516,144551,665161,7453374,17412042,107785,226249,38760,32244,386117,,122740,2309153,177825,10694,501153,1367129,164359,,,,87727,16965,,,45711,24893,343940,596772,,,1734,78273,,122551,11005,324532,145333,167247,889045,128001,4283,,184576,67802272,5923,586323,33504,401817,95484,159131,72475,601382,7765,188479,40778,45534,10571,178186,14325,267270,148078,17339,13011,
